,fullName,Articles,authors,years,Journals
0,Fardin Akhlaghian Tab,An unsupervised feature selection algorithm based on ant colony optimization,"S Tabakhi, P Moradi, F Akhlaghian",2014,"Engineering Applications of Artificial Intelligence 32, 112-123, 2014"
1,Fardin Akhlaghian Tab,Artificial neural network development by means of a novel combination of grammatical evolution and genetic algorithm,"F Ahmadizar, K Soltanian, F AkhlaghianTab, I Tsoulos",2015,"Engineering Applications of Artificial Intelligence 39, 1-13, 2015"
2,Fardin Akhlaghian Tab,An effective trust-based recommendation method using a novel graph clustering algorithm,"P Moradi, S Ahmadian, F Akhlaghian",2015,"Physica A: Statistical mechanics and its applications 436, 462-481, 2015"
3,Fardin Akhlaghian Tab,Principles and applications of light backscattering imaging in quality evaluation of agro-food products: a review,"K Mollazade, M Omid, FA Tab, SS Mohtasebi",2012,"Food and Bioprocess Technology 5, 1465-1485, 2012"
4,Fardin Akhlaghian Tab,Analysis of texture-based features for predicting mechanical properties of horticultural products by laser light backscattering imaging,"K Mollazade, M Omid, FA Tab, YR Kalaj, SS Mohtasebi, M Zude",2013,"Computers and electronics in agriculture 98, 34-45, 2013"
5,Fardin Akhlaghian Tab,A pattern mining approach to enhance the accuracy of collaborative filtering in sparse data domains,"M Ramezani, P Moradi, F Akhlaghian",2014,"Physica A: Statistical Mechanics and its Applications 408, 72-84, 2014"
6,Fardin Akhlaghian Tab,Fuzzy edge detection based on pixel's gradient and standard deviation values,"FA Tab, OK Shahryari",2009,"2009 International Multiconference on Computer Science and Information …, 2009"
7,Fardin Akhlaghian Tab,Hybrid fast unsupervised feature selection for high-dimensional data,"Z Manbari, F AkhlaghianTab, C Salavati",2019,"Expert Systems with Applications 124, 97-118, 2019"
8,Fardin Akhlaghian Tab,Classification of rice varieties using optimal color and texture features and BP neural networks,"SJM Rad, FA Tab, K Mollazade",2011,"2011 7th Iranian Conference on Machine Vision and Image Processing, 1-5, 2011"
9,Fardin Akhlaghian Tab,Retina identification based on the pattern of blood vessels using fuzzy logic,"W Barkhoda, F Akhlaqian, MD Amiri, MS Nouroozzadeh",2011,"EURASIP Journal on Advances in Signal Processing 2011, 1-8, 2011"
10,Fardin Akhlaghian Tab,A highly robust and secure image watermarking based on classification and visual cryptography,"A Fatahbeygi, FA Tab",2019,"Journal of information security and applications 45, 71-78, 2019"
11,Fardin Akhlaghian Tab,Evolutionary based matrix factorization method for collaborative filtering systems,"DZ Navgaran, P Moradi, F Akhlaghian",2013,"2013 21st Iranian conference on electrical engineering (ICEE), 1-5, 2013"
12,Fardin Akhlaghian Tab,Application of imperialist competitive algorithm for feature selection: A case study on bulk rice classification,"SM Rad, FA Tab, K Mollazade",2012,"International Journal of Computer Applications 40 (16), 41-48, 2012"
13,Fardin Akhlaghian Tab,Application of imperialist competitive algorithm for feature selection: a case study on bulk rice classification,"SJ MousaviRad, FA Tab, K Mollazade",2012,"International Journal of Computer Applications 40 (16), 2012"
