,fullName,fields,jobPosition,Citations,h-index,i10-index,Citations_2018,h-index_2018,i10-index_2018
0,Mohammad Izadi,"Formal Methods,Verification,Logic in CS and AI,Game Theory,Philosophy of AI","Associate Professor of Computer Engineering, Sharif University of Technology",301,9,9,216,7,5
1,Raman Ramsin,"Software Engineering,Software Development Methodologies,Method Engineering,Agile Methods,Model-Driven Engineering","Assistant Professor of Computer Science and Engineering, Sharif University of Technology",1137,18,26,404,11,13
2,farokh marvasti,"Nonuniform Sampling Theory,Machine Learning and Sparse Signal Processing,Iterative Methods for Inverse Systems,Overloaded CDM","Sharif University of Technology, EE and ACRI",6258,38,107,2069,23,50
3,Hamid R. Rabiee,"Multimedia Networks,Social Networks,Image and Video Processing,Machine Learning,Pattern Recognition","Professor of Computer Engineering, Sharif University of Technology",5959,31,115,3737,25,65
4,Maziar Goudarzi,"Systems for Big Data Processing,Hardware-Software Co-design,Green Computing",Sharif University of Technology,1057,17,29,600,12,14
5,Mohammad Ali Abam,Algorithms,Sharif University,478,13,14,207,8,7
6,MohammadAmin Fazli,"Complex Networks,Data Analysis,Software Engineering,Computational Business & Economics,Operations Research",Sharif University of Technology,258,8,8,182,8,7
7,Bardia Safaei,"Internet of Things,Wireless Sensor Networks,Mobile Ad-hoc Networks,Fog Computing,VANET","Assistant Professor, Sharif University of Technology, Department of Computer Engineering",326,11,11,323,11,11
8,Mohsen Ansari,"Cyber-Physical Systems,Robust System Design,Hybrid Dynamical Systems,Real-Time Embedded Systems,Low Power Design","Assistant Professor, Department of Computer Science and Engineering, Sharif University of Technology",284,12,14,276,11,13
9,Somayyeh Koohi,"Biophotonics,Optical Processing,Optical Communication,Bioinformatics","Associate Professor of Computer Engineering, Sharif University of Technology",539,13,15,223,8,7
10,Morteza Amini,"Information Security,Database Security and Access Control,Formal Methods and Logics for Security,Intrusion Detection and Aler",Sharif University of Technology,961,16,26,324,10,10
11,Mahdieh Soleymani Baghshah,"Deep Learning,Machine Learning","Associate Professor, Computer Engineering Department, Sharif University of Technology",1196,20,34,840,17,27
12,Mohammad Ghodsi,"Algorithms,Computational Geometry","Professor of Computer Science, Sharif University of Technology",1504,18,35,784,12,17
13,Hossein Asadi,"Storage Systems,Solid-State Drives,Operating Systems,High-Performance Computing,Cloud Computing","Professor, Department of Computer Engineering, Sharif University of Technology",2312,27,56,935,18,36
14,Hamid Beigy,"Deep Learning,Machine Learning,Data Stream Mining,Information Retrieval,Natural Language Processing",Sharif University of Technology,3133,30,84,1366,19,43
15,Ali Movaghar,"performance analysis,formal verification,distributed real-time systems,Internet of Things,cyber-physical systems","Professor of Computer Science and Engineering, Sharif University of Technology., Tehran, Iran",5630,33,154,2255,22,76
16,Alireza Ejlali,"Low Power Design,Fault Tolerance,Embedded Systems","Associate Professor, Department of Computer Engineering, Sharif University of Technology",2664,29,64,1367,21,48
17,Mehrnoush Shamsfard,"Artificial Intelligence,Natural Language Processing,Persian NLP,Ontology,Semantic Web","Associate Professor of Computer Engineering, Shahid Beheshti University",2209,22,44,962,16,22
18,Mohsen Ebrahimi Moghaddam,"Image processing,Computer Vision,Operating systems","Professor, Faculty of Computer science and Engineering, Shahid Beheshti University, Iran",2471,25,60,1110,15,30
19,Ghassem Jaberipur,"Computer Arithmetic,Compiler Construction","Professor for the Brain Pool Program in Chosun University, Gwangju, South Korea, SBU retired",1324,18,41,610,12,17
20,Hadi Tabatabaee Malazi,"Distributed Systems,Edge Computing,Service Orchestration,Services Computing","Assistant professor, Maynooth University",401,11,12,350,10,10
21,Mahmood Neshati,"Information Retrieval,Data analytics,Enterprise Search Engine,Business Intelligence","Assistant Professor of Software Engineering, Shahid Beheshti University",665,17,20,440,12,14
22,Ali Jahanian,"Hardware Security,Biochip Design,DNA Computing",Associate Professor at Shahid Beheshti University,396,9,8,201,7,3
23,Sadegh Aliakbary,"Complex Networks,Data Mining,Software Engineering",Shahid Beheshti University,321,9,9,235,7,5
24,Ahmad Ali Abin,"Machine Learning,Pattern Recognition","Faculty of Computer science and Engineering, Shahid Beheshti University",286,11,12,208,9,9
25,Armin Salimi-Badr,"Computational Intelligence,Cognitive Robotics,Computational Neuroscience","Assistant Professor of Computer Science and Engineering, Shahid Beheshti University",174,8,5,161,8,5
26,Maedeh Mosharraf,"Semantic Web Technology,Technology Enhanced Learning",Shahid Beheshti University,148,6,3,111,5,2
27,Raziyeh Salarifard,"Cryptography Engineering,Post Quantum Cryptography","Assistant Professor , Department of Computer Engineering and Science, Shahid Beheshti University",72,4,2,71,4,2
28,Siamak Mohammadi,"VLSI Digital Design,Computer Architecture,Verification,Hardware Security","Associate Professor of Electrical and Computer Eng., University of Tehran",1300,20,41,510,13,19
29,Kazim Fouladi,"Artificial Intelligence,Pattern Recognition and Machine Learning,Computer Vision,Multiagent Systems,System Theory","Assistant Professor of Computer Engineering, Faculty of Engineering, College of Farabi, University of Tehran",283,5,4,245,4,3
30,Masoud Asadpour,"Social Networks,Machine Learning,Bio-Inspired Robotics","Assistant Prof. in AI and Robotics, University of Tehran",2367,23,45,1100,16,27
31,Heshaam Faili,"Natural Language Processing,Social Network","Full Professor, University of Tehran",1181,18,43,728,13,23
32,Azadeh Shakery,Text Information Management,"Associate Professor, Electrical and Computer Engineering Department, University of Tehran",1965,21,58,1172,16,36
33,Behnam Bahrak,,"Assistant Professor, University of Tehran",635,15,16,385,11,12
34,Fattaneh Taghiyareh,"Multi Agent Systems,Game Based learning,Opinion Formation in Social Networks","Associate Professor, ECE department, University of Tehran",854,15,22,470,10,11
35,Ehsan Khamespanah,"Formal Methods,Software Architecture","Postdoc, Reykjavik University",541,14,18,395,11,12
36,Hossein Hojjat,"Formal methods,concurrency,software verification","Assistant Professor, RIT",952,15,19,471,12,14
37,Ramtin Khosravi,,"Assistant Prof., University of Tehran",651,15,23,269,9,8
38,ahmad khonsari,"Performance modelling and evaluation,computer networks wireless and wired",associate professor ECE department University of Tehran,1750,20,57,878,15,25
39,Maseud Rahgozar,"Information Systems,Data Science,Bioinformatics,Human Computer Interaction","Professor of Computer Science, Tehran University",1533,21,36,820,14,17
40,Fathiyeh Faghih,"Intelligent Software Engineering,Dependable AI,Test",University of Tehran,163,7,5,110,6,4
41,Mehdi Kargahi,"Cyber-Physical Systems (CPS),Real-Time Systems,Power-Aware Computing,Stochastic Systems,Program Verification","Professor of Computer Engineering, University of Tehran",763,17,25,423,12,18
42,Reshad Hosseini,"Machine Learning,Machine Vision,Optimization,Computational Neuroscience,Wavelet","Assistant Professor, Machine Learning and Robotics Group, University of Tehran",1218,16,23,826,14,20
43,Hamid Mahini,"Game Theory,Algorithm Design,Social Network,Optimization",University of Maryland,937,13,15,370,11,13
44,Rezvan Nasiri,"Bionic,Bio-inspired Robotics,Wearable Robots,Nonlinear Dynamics,Machine Learning",Assistant Professor at University of Tehran,246,8,6,232,8,5
45,Majid Nili Ahmadabadi,"Reinforcement learning,Social Learning,Cognitive Modeling,Robotics","Professor of ECE, University of Tehran",3611,30,96,1629,21,47
46,Mohammad Amin Sadeghi,"Computer Vision,Machine Learning",University of Tehran,2383,14,17,1390,12,12
47,Mehdi Tale Masouleh,"Human-Robot Interaction,Parallel Robots,Humanoids,Artificial Intelligence","Associate Prof., University of Tehran, Electrical and Computer Eng., Human and Robot Interaction Lab",2206,24,68,1439,20,44
48,Mostafa Tavassolipour,"Statistical Machine Learning,Information Theory,Bioinformatics","Assistant Professor, Tehran University",153,3,2,111,3,2
49,Abdol-Hossein Vahabie,"Cognitive Neuroscience,Neuroeconomics,Neural Dynamics,Machine Learning,Computational Psychiatry","School of ECE, & Faculty of Psychology, University of Tehran; School of Cognitive Sciences, IPM",326,11,12,264,9,9
